MonthYear,RowCounts
2018-04,816
2018-05,816
2018-07,272
2018-12,272
2019-07,1904
2019-08,1360
2019-10,1360
2019-11,544
2019-12,4081
2020-01,544
2020-02,11426
2020-03,32918
2020-04,52774
2020-05,21760
2020-06,42435
2020-07,19590
2020-08,28836
2020-09,86235
2020-10,14966
2020-11,284198
2020-12,180246
2021-01,57132
2021-02,69921
2021-03,41363
2021-04,132629
2021-05,59904
2021-06,74592
2021-07,87645
2021-08,314185
2021-09,234223
2021-10,301951
2021-11,270343
2021-12,328048
2022-01,215980
2022-02,229007
2022-03,608960
2022-04,151253
2022-05,341236
2022-06,309012
2022-07,143380
2022-08,294474
2022-09,183593
2022-10,235917
2022-11,136153
2022-12,252263
2023-01,123409
2023-02,283324
2023-03,427481
2023-04,262834
2023-05,556196
2023-06,524483
2023-07,364918
2023-08,691089
2023-09,149906
2023-10,466361
2023-11,291902
2023-12,245813
2024-01,311090
2024-02,417038
2024-03,1081127
2024-04,147609
2024-05,125152
2024-06,188144
2024-07,187082
2024-08,224452
2024-09,227899
2024-10,250849
2024-11,340359
2024-12,256586
2025-01,610941
2025-02,520483
2025-03,650485
2025-04,13481568
2025-05,2003990
2025-06,871702
2025-07,2758861
2025-08,738358
2025-09,484310
2025-10,906846
2025-11,16150844
2025-12,3352241
2026-01,10362664
2026-02,1502479
2026-03,3911757
2026-04,2840981
2026-05,697240
2026-06,1041860
2026-07,10555
